,Time,Type,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25
2,28,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,3.0,0.0,-3.0,0.0
0,29,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,-1.0,3.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,3.0,-2.0,-1.0,0.0,0.0,-3.0,1.0
1,29,Salmon,-2.0,2.0,0.0,-1.0,-2.0,-3.0,3.0,-1.0,-1.0,7.0,-3.0,-3.0,2.0,-2.0,-1.0,-2.0,1.0,2.0,1.0,-2.0,0.0,6.0,-3.0,1.0,1.0
2,29,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,3.0,0.0,-3.0,0.0
0,30,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,-1.0,3.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,3.0,-2.0,-1.0,0.0,0.0,-3.0,1.0
1,30,Salmon,-1.0,1.0,0.0,-1.0,-2.0,-3.0,3.0,-1.0,0.0,6.0,-3.0,-3.0,2.0,-2.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,6.0,-3.0,0.0,2.0
2,30,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,-6.0,3.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,6.0,3.0,0.0,-3.0,0.0
0,31,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,-2.0,4.0,-3.0,0.0,0.0,-1.0,1.0,-2.0,3.0,-2.0,-1.0,0.0,0.0,-3.0,1.0
1,31,Salmon,-1.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,0.0,6.0,-2.0,-3.0,2.0,-2.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,6.0,-3.0,0.0,2.0
2,31,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-6.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,6.0,3.0,0.0,-3.0,0.0
0,32,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,-2.0,4.0,-3.0,0.0,1.0,-1.0,1.0,-2.0,3.0,-3.0,-1.0,0.0,0.0,-3.0,1.0
1,32,Salmon,-1.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,0.0,6.0,-2.0,-5.0,2.0,-2.0,-2.0,-3.0,4.0,2.0,1.0,-1.0,0.0,6.0,-3.0,0.0,2.0
2,32,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-6.0,0.0,3.0,-3.0,3.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,6.0,3.0,-3.0,-3.0,0.0
0,33,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,-2.0,4.0,-3.0,0.0,1.0,-1.0,1.0,-2.0,3.0,-3.0,-1.0,0.0,0.0,-3.0,1.0
1,33,Salmon,-1.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,0.0,6.0,-2.0,-5.0,2.0,-2.0,-2.0,-3.0,4.0,2.0,1.0,-1.0,0.0,6.0,-3.0,0.0,2.0
2,33,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-6.0,0.0,3.0,-3.0,3.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,6.0,3.0,-3.0,-3.0,0.0
0,34,Tuna,-2.0,0.0,0.0,1.0,-1.0,0.0,2.0,2.0,2.0,1.0,-2.0,5.0,-3.0,0.0,1.0,-1.0,0.0,-2.0,3.0,-3.0,-1.0,0.0,0.0,-3.0,1.0
1,34,Salmon,0.0,0.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,0.0,6.0,-2.0,-5.0,2.0,-2.0,-2.0,-3.0,4.0,2.0,1.0,-1.0,0.0,6.0,-3.0,0.0,2.0
2,34,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-6.0,0.0,3.0,-3.0,3.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,6.0,3.0,-3.0,-3.0,0.0
