,Time,Type,Zone1,Zone2,Zone3
0,165,Tuna,-3.0,-4.0,7.0
1,165,Salmon,3.0,-3.0,0.0
2,165,Clown,-30.0,57.0,-27.0
0,166,Tuna,-2.0,-5.0,7.0
1,166,Salmon,3.0,-3.0,0.0
2,166,Clown,-30.0,57.0,-27.0
0,167,Tuna,-3.0,-5.0,8.0
1,167,Salmon,4.0,-4.0,0.0
2,167,Clown,-30.0,54.0,-24.0
0,168,Tuna,-3.0,-5.0,8.0
1,168,Salmon,3.0,-3.0,0.0
2,168,Clown,-30.0,54.0,-24.0
0,169,Tuna,-3.0,-5.0,8.0
1,169,Salmon,3.0,-4.0,1.0
2,169,Clown,-30.0,54.0,-24.0
0,170,Tuna,-3.0,-5.0,8.0
1,170,Salmon,2.0,-3.0,1.0
2,170,Clown,-33.0,57.0,-24.0
0,171,Tuna,-3.0,-5.0,8.0
1,171,Salmon,3.0,-5.0,2.0
2,171,Clown,-33.0,57.0,-24.0
0,172,Tuna,-3.0,-5.0,8.0
1,172,Salmon,3.0,-5.0,2.0
2,172,Clown,-33.0,60.0,-27.0
0,173,Tuna,-4.0,-4.0,8.0
1,173,Salmon,3.0,-5.0,2.0
2,173,Clown,-33.0,60.0,-27.0
0,174,Tuna,-5.0,-3.0,8.0
1,174,Salmon,2.0,-4.0,2.0
2,174,Clown,-33.0,60.0,-27.0
0,175,Tuna,-6.0,-2.0,8.0
1,175,Salmon,2.0,-4.0,2.0
2,175,Clown,-33.0,60.0,-27.0
0,176,Tuna,-7.0,-1.0,8.0
1,176,Salmon,2.0,-5.0,3.0
2,176,Clown,-33.0,60.0,-27.0
0,177,Tuna,-7.0,-1.0,8.0
1,177,Salmon,2.0,-5.0,3.0
2,177,Clown,-33.0,60.0,-27.0
0,178,Tuna,-6.0,-2.0,8.0
1,178,Salmon,1.0,-4.0,3.0
2,178,Clown,-33.0,63.0,-30.0
0,179,Tuna,-6.0,-2.0,8.0
1,179,Salmon,1.0,-4.0,3.0
2,179,Clown,-33.0,63.0,-30.0
0,180,Tuna,-6.0,-2.0,8.0
1,180,Salmon,1.0,-4.0,3.0
2,180,Clown,-33.0,63.0,-30.0
0,181,Tuna,-5.0,-3.0,8.0
1,181,Salmon,2.0,-5.0,3.0
2,181,Clown,-36.0,63.0,-27.0
0,182,Tuna,-5.0,-3.0,8.0
1,182,Salmon,2.0,-5.0,3.0
2,182,Clown,-33.0,60.0,-27.0
0,183,Tuna,-3.0,-5.0,8.0
1,183,Salmon,2.0,-5.0,3.0
2,183,Clown,-33.0,60.0,-27.0
0,184,Tuna,-2.0,-6.0,8.0
1,184,Salmon,1.0,-4.0,3.0
2,184,Clown,-33.0,60.0,-27.0
0,185,Tuna,-2.0,-5.0,7.0
1,185,Salmon,2.0,-5.0,3.0
2,185,Clown,-33.0,60.0,-27.0
0,186,Tuna,-2.0,-5.0,7.0
1,186,Salmon,2.0,-5.0,3.0
2,186,Clown,-30.0,57.0,-27.0
0,187,Tuna,-2.0,-5.0,7.0
1,187,Salmon,2.0,-5.0,3.0
2,187,Clown,-30.0,57.0,-27.0
0,188,Tuna,-2.0,-5.0,7.0
1,188,Salmon,0.0,-3.0,3.0
2,188,Clown,-30.0,57.0,-27.0
0,189,Tuna,-2.0,-5.0,7.0
1,189,Salmon,1.0,-4.0,3.0
2,189,Clown,-33.0,60.0,-27.0
0,190,Tuna,-2.0,-4.0,6.0
1,190,Salmon,1.0,-4.0,3.0
2,190,Clown,-36.0,63.0,-27.0
0,191,Tuna,-2.0,-4.0,6.0
1,191,Salmon,1.0,-4.0,3.0
2,191,Clown,-36.0,63.0,-27.0
0,192,Tuna,-1.0,-3.0,4.0
1,192,Salmon,2.0,-5.0,3.0
